LeadTime (Weeks),ServiceLevel (%),(YYYYWW),(ActualHistoricalForecast),(ActualHistoricalDemand),(WWForFutureForecast),(Future Forecast)
5,0.95,2016101,0,0,2016101,17.5
,,2016101,0,0,2016101,0
,,2016101,31.5,35.736,2016101,0
,,2016101,0,0,2016101,0
,,2016101,0,0,2016101,21
,,2016101,0,0,2016101,0
,,2016101,0,0,2016101,0
,,2016101,45.5,29.092,,
,,2016101,0,0,,
,,2016101,0,0,,
,,2016101,0,0,,
,,2016101,0,0,,
,,2016101,28,0,,
,,2016101,0,0,,
,,2016101,31.5,45.129,,
,,2016101,0,0,,
,,2016101,0,0,,
,,2016101,0,0,,
,,2016101,17.5,13.124,,
,,2016101,0,0,,
,,2016101,0,0,,
,,2016101,0,0,,
,,2016101,21,19.16,,
,,2016101,0,0,,
,,2016101,0,0,,
